word,count
"caught",20
"cause",13
"causeth",1
"caution",1
"cave",18
"cavern",1
"caverns",1
"cease",5
"ceased",2
"ceaseless",1
"cell",1
"certain",12
"certainly",2
"certes",6
"chaffer",2
"chain",4
"chained",4
"chains",6
"chair",12
"challenge",2
"chamber",47
"chamber-door",1
"chambers",7
"champion",2
"champions",26
"chance",7
"chances",1
"change",20
"changed",35
"changes",1
"changing",3
"chapel",5
"chapfallen",1
"chaplain",10
"chapman",2
"chapmen",5
"charcoal-burners",1
"charge",4
"charged",1
"charm",1
"chase",2
"chased",2
"chases",1
"chasing",1
"chastened",1
"chastise",7
"chastised",3
"chastisement",2
"chastising",1
"chattel",3
"chattered",1
"cheapeners",1
"cheaping-stead",1
"cheaping-town",4
"cheat",1
"checked",1
"cheek",13
"cheekbones",1
"cheeks",31
"cheer",16
"cheered",2
"cheerful",6
"cheerfully",1
"cheery",2
"cheese",9
"cherish",1
"cherished",2
"cherishing",2
"chid",1
"chief",4
"chiefest",1
"chiefly",3
"chiefs",1
"chieftain",2
"chieftains",2
"child",90
"childhood",2
"childish",1
"children",38
"chill",2
"chilled",1
"chimney",2
"chimneys",1
"chin",3
"chirrup",1
"choice",2
"choices",1
"choicest",1
"choir",1
"choked",1
"choose",9
"chose",2
"chosen",2
"christ",1
"chuckle",1
"church",4
"churl",1
"cider",2
"circle",1
"cities",1
"city",19
"clad",76
"clamour",1
"clang",1
"clash",2
"clashing",3
"clasp",1
"clasped",4
"clatter",3
"clattering",4
"clave",3
"clay",1
"clean",11
"clean-made",1
"clean-wrought",1
"clear",46
"clear-eyed",1
"clear-made",1
"clear-seeing",1
"clear-skinned",1
"cleared",8
"clearer",3
"clearing",4
"clearly",6
"clearness",1
"cleaving",1
"clee",1
"cleft",3
"clemming",1
"clenched",2
"clerkly",1
"clerk’s",1
"cliff",1
"cliff-wall",1
"cliff-walls",1
"climbing",1
"clipped",8
"clipping",3
"cloak",2
"cloister",1
"clomb",1
"close",42
"close-jointed",1
"closed",2
"closely",17
"closer",2
"closes",1
"closest",1
"cloth",10
"clothe",3
"clothing",1
"cloths",3
"clottered",1
"cloud",11
"cloudless",4
"clouds",6
"clout",2
"cloven",2
"clover",2
"clung",2
"clutch",1
"coal-blue",1
"coat",19
"coats",2
"cock",1
"coffer",14
"coffers",2
"coiled",2
"coined",1
"cold",6
"coldly",3
"coldness",1
"collar",7
"colour",13
"colourless",1
"colours",4
"come",389
"comely",2
"comers",1
"comes",18
"comest",6
"cometh",30
"comfort",13
"comfortable",1
"comforted",6
"comforting",1
"coming",69
"comings",3
"command",6
"commanded",1
"commands",1
"common",1
"commonly",1
"communed",1
"companies",1
"companions",1
"company",22
"compass",1
"compassion",5
"compel",7
"compelled",5
"compellest",2
"compelleth",1
"conceived",1
"concerning",29
"concerns",1
"condition",2
"conditions",2
"coney",1
"coneys",2
"confuse",1
"confused",14
"confusedly",3
"confusion",6
"consented",2
"consider",3
"considered",3
"considering",2
"constant",1
"constrained",3
"constrainest",1
"constraineth",1
"consuls",1
"contain",1
"contemned",1
"content",22
"contention",2
"contentment",2
"converse",11
"cooked",2
"cooking",4
"cooking-fire",1
"cooking-time",1
"cool",5
"coolness",1
"coot",1
"copper-coloured",1
"coppice",2
"copse",9
"copse-side",1
"copses",2
"cords",2
"corn",1
"corner",10
"corners",1
"corning",1
"corpse",3
"corpses",1
"correct",1
"corrected",1
"correction",1
"cossetting",1
"cot",11
"cote-hardie",1
"cots",1
"could",85
"couldst",3
"council",1
"council’s",1
"counsel",5
"counselled",1
"count",1
"counted",1
"countenance",23
"country",10
"country-side",9
"courage",2
"course",1
"courses",1
"court",3
"courteous",13
"courteously",5
"courtesy",6
"courtesy’s",2
"cousin",1
"covenant",1
"cover",13
"covered",13
"covering",2
"covert",4
"covertly",2
"covet",1
"coveteth",1
"coveting",1
"cow",2
"cowed",3
"cower",1
"cowered",2
"cows’",2
"crabbed",1
"cracked",1
"crackling",1
"craft",19
"crafts",25
"craftsmen",2
"crafty",1
"craggy",1
"crags",1
"crashing",1
"crave",27
"craved",8
"craving",2
"crawled",1
"crawling",1
"cream",5
"creature",11
"creatures",8
"creek",12
"creek-side",2
"creeping",2
"creeps",1
"crept",7
"crest",3
"cried",46
"cries",5
"cringed",2
"cringing",1
"croak",1
"croaking",1
"cropping",1
"cross",5
"crossed",3
"crossing",4
"crouched",2
"crow",2
"crow-black",1
"crowed",2
"crown",2
"crowned",3
"crows",1
"crow’s",1
"cruel",8
"crueller",1
"cruellest",1
"cruelly",2
"cruelty",5
"crumb",2
"crumbled",1
"crupper",1
"crushed",1
"cry",10
"crying",9
"crystal",1
"cumber",1
"cumbered",1
"cunning",1
"cunningest",1
"cup",13
"cups",1
"curd",1
"curiously",2
"curling",1
"curly",1
"curse",5
"cursed",4
"cursing",1
"curtain",1
"cushion",1
